"tamanho","peso","envergadura","especie"
33.96,520,60.02,"corniculata"
36.88,880.8,63.88,"cirrhata"
37.99,457.3,63.74,"corniculata"
53.03,1085.5,52.4,"corniculata"
27.56,282.5,57.02,"corniculata"
35.4,914.6,53.38,"cirrhata"
33.13,649.3,61,"corniculata"
38.27,996.8,61.33,"cirrhata"
31.92,416.2,40.16,"arctica"
44.72,1185.4,54.44,"cirrhata"
29.89,394.6,59.94,"corniculata"
54.2,1157.6,76.39,"cirrhata"
19.61,152.7,42.04,"arctica"
36.65,522.1,61.07,"corniculata"
39.34,606.3,54.1,"corniculata"
31.23,508,51.02,"corniculata"
44.29,1056.2,68.49,"cirrhata"
40.58,659.6,60.67,"corniculata"
31.37,517,66.1,"corniculata"
38.45,818.3,47.04,"cirrhata"
38.95,697.7,51.11,"corniculata"
33.5,549,64.89,"corniculata"
34.5,521.7,47.06,"corniculata"
35.35,736.2,45.67,"cirrhata"
37.22,871.4,79.23,"cirrhata"
50.84,1238.1,56.39,"cirrhata"
49.79,919.9,48.13,"corniculata"
28.94,141.3,59.98,"arctica"
34.08,743.3,59.61,"cirrhata"
32.46,429.6,53.91,"arctica"
32.42,313.4,59.27,"arctica"
37.78,632.6,50.07,"arctica"
42.9,705.1,79.68,"cirrhata"
32.69,292.7,52.87,"arctica"
29.15,451.2,64.21,"cirrhata"
34.16,602.8,57,"cirrhata"
48.62,831.7,64.73,"corniculata"
44.6,887.9,52.55,"cirrhata"
32.88,581.9,71.03,"cirrhata"
35.89,694.2,50.86,"cirrhata"
44.01,827.5,51.66,"corniculata"
46.44,1016,59.01,"cirrhata"
36.95,689.9,59.91,"corniculata"
30.95,340.6,51.35,"arctica"
45.41,665.6,62,"corniculata"
37.11,509.4,46.49,"corniculata"
30.91,508.8,63.52,"corniculata"
26.44,266.7,54.68,"arctica"
35.27,601.8,60.52,"corniculata"
39.92,631,57.4,"corniculata"
40.77,948.3,72.62,"cirrhata"
43.46,780,59.33,"corniculata"
46.21,1173.4,67.91,"cirrhata"
34.84,519.8,60.04,"corniculata"
22.08,123.8,52.44,"arctica"
53,980.5,54.79,"corniculata"
39.68,1003.9,72.61,"cirrhata"
40.75,691.1,55.92,"corniculata"
35.37,725.7,53.76,"cirrhata"
36.21,406.3,53.22,"arctica"
46.12,1039.2,62.65,"cirrhata"
41.86,1092.4,71.63,"cirrhata"
34.2,320.5,53.81,"cirrhata"
31.31,514.7,46.78,"arctica"
39.86,895.9,65.73,"cirrhata"
41.42,767.4,69.26,"corniculata"
42.17,790.4,50.75,"corniculata"
41.54,823.4,60.28,"cirrhata"
39.12,566.6,57.02,"corniculata"
46.35,1179.8,59.51,"cirrhata"
30.8,309.2,54.65,"arctica"
34.23,476.5,63.21,"cirrhata"
36.7,571.9,54,"arctica"
36.3,546.8,47.53,"arctica"
39.74,895.9,55.35,"cirrhata"
34.38,372.7,45.84,"arctica"
29.65,421.8,51.61,"corniculata"
34.37,471.8,47.54,"arctica"
43.54,670.3,58.92,"corniculata"
38.68,657.9,56.94,"corniculata"
34.95,394.2,57.08,"arctica"
38.05,483.6,44.32,"arctica"
32.97,528.8,44.96,"corniculata"
44.38,980.4,58.5,"cirrhata"
40.59,596.3,58.14,"arctica"
33.97,400.9,62.04,"corniculata"
24.02,485.1,65.15,"cirrhata"
41.43,575.2,54.23,"cirrhata"
43.21,925.4,71.6,"cirrhata"
36.79,657.8,61.07,"cirrhata"
39.99,780.5,56.76,"corniculata"
25.93,297.4,52.22,"arctica"
34.56,458,67.12,"arctica"
42.75,898.4,47.86,"cirrhata"
35.97,838.2,82.96,"cirrhata"
35.13,396.2,41.62,"arctica"
42.81,689.4,65.86,"cirrhata"
31.79,515.9,43.86,"corniculata"
50.89,885.3,51.73,"corniculata"
38.05,714.7,50.47,"arctica"
42.82,829.1,55.11,"cirrhata"
48.53,786.3,51.62,"corniculata"
26.94,406.5,57.23,"cirrhata"
38.62,711.1,70.43,"cirrhata"
42.32,729.9,60.71,"corniculata"
35.35,479.8,63.2,"corniculata"
39.32,636.9,64.76,"cirrhata"
32.76,519.6,63.4,"corniculata"
29.26,646.8,79.8,"cirrhata"
47.63,640.2,66.05,"corniculata"
49.33,791.3,54.69,"corniculata"
28.13,370.6,53.64,"corniculata"
31.91,417.5,55.88,"arctica"
37.52,678.8,71.92,"corniculata"
36.75,655,62.93,"cirrhata"
32.35,874.2,62.23,"cirrhata"
24.79,201.7,54.55,"arctica"
43.89,788,62.79,"cirrhata"
38.45,603.9,47.62,"cirrhata"
38.29,616.8,58.67,"corniculata"
38.44,914.3,68.99,"cirrhata"
41.81,657.8,59.4,"cirrhata"
35.07,623.4,70.15,"cirrhata"
34.62,539.7,53.54,"corniculata"
35.58,563.7,63.68,"cirrhata"
34.01,451.9,62.12,"corniculata"
39.89,642.5,57.8,"cirrhata"
46.55,904.7,47.38,"corniculata"
50.96,1006.6,60.18,"corniculata"
42.76,652.4,70.88,"cirrhata"
48.08,1070.5,78.19,"cirrhata"
37.45,714.7,56.55,"cirrhata"
23.47,302.9,45.49,"corniculata"
42.9,690.9,49.58,"corniculata"
39.36,811.9,52.23,"corniculata"
33.71,541.5,53.95,"corniculata"
41.54,602.3,63.77,"corniculata"
30.67,495.1,50.5,"cirrhata"
34.88,565.5,50.16,"cirrhata"
28.98,254.3,50.68,"arctica"
33.81,436.3,55.85,"corniculata"
39.9,614,51.33,"corniculata"
40.55,440.5,48.85,"arctica"
35.11,475.6,60.7,"cirrhata"
39.02,664.8,58.23,"corniculata"
39.48,639.5,68.85,"cirrhata"
38.89,760.7,71.83,"cirrhata"
45.99,854.7,53.98,"corniculata"
36.73,876.9,58.89,"cirrhata"
32.46,351,55.63,"arctica"
33.59,859.6,62.5,"cirrhata"
39.9,1067.9,60.45,"cirrhata"
29.54,336.2,47.05,"arctica"
32.71,258.9,52.16,"arctica"
24.06,247.9,53.22,"arctica"
36.77,495.3,64.03,"corniculata"
28.91,427,59.73,"corniculata"
29.33,256.3,51.43,"arctica"
51.35,1288.4,52.36,"cirrhata"
33.28,422.2,49.49,"arctica"
27.96,387.6,51.14,"arctica"
27.97,285.8,51.18,"arctica"
34.75,303.9,57.88,"arctica"
34.5,626.5,47.76,"corniculata"
32.14,299,46.76,"arctica"
33.63,791.2,61.88,"cirrhata"
30.75,360.9,58.57,"arctica"
28.38,396.2,59.74,"arctica"
45.85,952.5,52.29,"cirrhata"
36.99,133.5,58.52,"arctica"
31.47,773,77.05,"cirrhata"
32.18,332.7,55.95,"arctica"
44.29,735.4,60.59,"corniculata"
32.42,326,59.07,"arctica"
39.25,508.3,63.26,"cirrhata"
27.96,262.9,48.55,"arctica"
33.65,422.3,49.62,"arctica"
41.63,696,55.22,"arctica"
30.58,439.6,61.58,"corniculata"
32.89,399.6,68.16,"corniculata"
48.63,884.3,53.89,"corniculata"
43.08,887.9,55.03,"cirrhata"
44.39,815.7,65.64,"cirrhata"
25.97,278.9,55.49,"arctica"
44.56,856.6,55.68,"corniculata"
32.46,480.6,58.58,"corniculata"
32.49,443.6,58.26,"corniculata"
43.95,901.1,72.28,"cirrhata"
30.01,335.8,45.84,"arctica"
32.64,189.4,48.26,"arctica"
37.36,724.3,68.45,"corniculata"
42.76,752.6,59.51,"corniculata"
32.69,628.3,66.62,"cirrhata"
40.79,748.1,63,"cirrhata"
37.42,608.2,55.17,"cirrhata"
28.04,298.3,47.98,"arctica"
34.4,572,57.35,"corniculata"
38.83,755.2,52.64,"cirrhata"
34.21,432,49.52,"arctica"
35.74,797.9,76.5,"cirrhata"
48.58,956.6,70.45,"cirrhata"
30.38,378.5,58.32,"arctica"
36.68,466.8,57.28,"corniculata"
28.89,230,46.63,"arctica"
41.42,586.2,47.71,"cirrhata"
31,313.9,56.18,"arctica"
39.14,1124.7,62.41,"cirrhata"
29.54,248.9,59.2,"arctica"
36.13,413,49.92,"arctica"
35.53,497.2,55.8,"arctica"
38.23,909.8,64.19,"cirrhata"
31.87,444,54.48,"corniculata"
44.7,841.9,44.84,"corniculata"
38.6,852.1,71.91,"cirrhata"
32.16,830.2,50.71,"cirrhata"
34.13,640,65,"cirrhata"
34.14,654.1,61.1,"cirrhata"
27.43,271.6,58.33,"arctica"
28.66,488.1,67.07,"cirrhata"
54.48,1120.9,64.64,"corniculata"
24.34,261.6,58.63,"arctica"
48.47,798.8,52.42,"corniculata"
42.74,803.2,54.33,"corniculata"
40.36,1248.7,59.85,"cirrhata"
28.38,393,46.25,"corniculata"
37.19,410.5,55.28,"arctica"
36.2,675.6,62.83,"corniculata"
46.79,1194.8,75.32,"cirrhata"
38.97,704.2,49.2,"corniculata"
37.37,432.4,52.74,"arctica"
35.27,820.6,53.65,"cirrhata"
33.15,316.8,63.27,"cirrhata"
34.15,528.5,52.57,"corniculata"
41.27,671.7,66.82,"cirrhata"
44.04,958.4,49.76,"cirrhata"
25.51,178.7,53.96,"arctica"
31.26,413.4,59.06,"corniculata"
49.66,928.1,58.1,"corniculata"
41.31,1116.5,45.65,"cirrhata"
30.77,502.2,54.71,"corniculata"
40.72,486.2,69.46,"cirrhata"
42.5,652.8,56.15,"corniculata"
49.29,987,49.92,"corniculata"
32.57,511.6,64.28,"cirrhata"
27.21,379.6,60.3,"corniculata"
36.19,818.3,76.34,"cirrhata"
46.11,1114.9,60.76,"cirrhata"
26.12,201.9,45.29,"arctica"
33.04,729,62.09,"cirrhata"
42.74,766.1,68.27,"cirrhata"
28.65,595.4,69.7,"cirrhata"
47.67,1053.9,57.51,"corniculata"
27.93,276,59.77,"arctica"
43.48,868.1,63.94,"cirrhata"
39.34,691.4,59.24,"cirrhata"
43.46,828.3,58.74,"corniculata"
44.01,713.1,56.87,"corniculata"
46.36,1021,58.53,"cirrhata"
40.83,908,49.65,"cirrhata"
40.37,714.9,62.92,"cirrhata"
45.6,997,49.75,"cirrhata"
34.73,614.4,51.04,"corniculata"
31.87,288.4,54.11,"arctica"
38.77,613.4,56.06,"corniculata"
42.86,911,57.83,"corniculata"
30.19,345.1,59.19,"arctica"
55.14,1019.6,60.75,"corniculata"
36.2,726.3,68.75,"cirrhata"
33.59,775.2,57.44,"cirrhata"
34.35,645.9,63.75,"cirrhata"
31.06,337.5,63.72,"arctica"
45.27,756.7,73.01,"corniculata"
30.42,323.9,60.07,"arctica"
47.01,974.5,71.39,"cirrhata"
33.44,401.1,62.91,"arctica"
33.88,367.5,55.06,"arctica"
32.12,428.5,53.49,"arctica"
39.83,769.1,65.97,"cirrhata"
44.64,992.7,56.48,"cirrhata"
33.09,687.5,53.17,"corniculata"
30.06,451.2,62.97,"corniculata"
24.95,234.6,52.15,"arctica"
48.99,1045.7,66.91,"cirrhata"
31.99,218.2,52.34,"arctica"
38.68,560.3,61.97,"corniculata"
26.47,392.7,46,"arctica"
32.99,675.5,62.31,"cirrhata"
32.04,710,62.45,"cirrhata"
32.61,385.8,57.83,"arctica"
32.25,665.1,60.29,"cirrhata"
34.04,535,58.25,"corniculata"
36.72,679.6,59,"corniculata"
30.34,239.9,52.38,"arctica"
25.63,454.4,76.35,"cirrhata"
33.74,791.1,62.33,"cirrhata"
31.97,308.4,59.63,"arctica"
27.32,216.5,42.5,"arctica"
39.85,1040,67.54,"cirrhata"
31.2,531.2,53.91,"corniculata"
28.91,317.3,51.36,"arctica"
35.35,837.3,68.28,"cirrhata"
33.8,499,47.26,"corniculata"
38.47,949.7,58.26,"cirrhata"
39.8,671.6,56.1,"corniculata"
29.53,226.8,63.41,"arctica"
36.78,756.6,62.38,"cirrhata"
23.54,180.2,53.41,"arctica"
39.78,892,70.7,"cirrhata"
39.74,678.9,52.37,"corniculata"
41.69,835.5,60.32,"corniculata"
23.09,199.2,50.61,"arctica"
31.53,746.3,53.99,"cirrhata"
31.78,671.5,59.74,"cirrhata"
36.39,473.3,51.76,"arctica"
42.53,689.3,59.55,"corniculata"
39.41,835.5,77.61,"cirrhata"
43.5,737,64.81,"cirrhata"
45.67,770.5,49.5,"corniculata"
33.81,528.9,61.87,"corniculata"
37.59,659.5,64.05,"cirrhata"
41.12,714,61.76,"corniculata"
30.08,554.3,54.14,"arctica"
25.55,554.1,69.78,"cirrhata"
37.72,424.1,46.26,"arctica"
35.3,563.3,61.55,"arctica"
33.2,272,61.85,"arctica"
28.55,324.4,58.24,"arctica"
